short_descriptions,assignment_groups
My chat for jyanrque,Service Desk - Non Sales
Fiori GWP400 POPR error,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CY YTD P11 Functional PampL for SC Profit centres is not matching with CY YTD P11 Commercial PampL with SC Profit Centres,PZC-FJ-ServiceDesk
Unable to log in HQSA0721 server,GBL-WTI-AHS WINTEL L1
Jabber Phone not working in HO,SD_1stL_SD-UC_NSN_ENG_PH
amrndhl1091pfizercomLogMonitorUnixLinux Networking Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixNetworkingErrors Linux,GBL-WTI-AHS UNIX L1
RP NSAUNIX Request20190819130058255,GBL-WTI-AHS UNIX L1
GRIR Clearing indicator,PZC-FJ-ServiceDesk
Setting up new iPad Stuck profile install failed can not connect to server ,Service Desk - Non Sales
DP issue  Failures for AMER5c  BS amrdrml059 GP 2100Start CT groamrweb188,GBL-WTI-AHS WINTEL L1
no teams meeting icon in outlook ,Service Desk - Non Sales
Sharepoint owner query,SD_UC_CoCare_NSN_GL
INCHow to reserve or allocate stock of   A19648988  9000009451,PZC-FJ-ServiceDesk
Patching Issue PARTIALLY Win2008R2 617601 Result for INTNIKWWP0002,GBL-WTI-AHS WINTEL L1
RE Account locked,Service Desk - Non Sales
Wifi Connectivity issue on the users machine Unable to login to the machine,Deskside Carnegie
change email address supplier Alten BE,I-Buy Process Support
PL  User access issue,G SNOW PL SERVICE DESK
Missing Quantity Produced on BiReport PAA in Week 012020,PZC-FJ-ServiceDesk
Account disabled  VIRMANICW PARUL 11272,Service Desk - Non Sales
Computer slow performance and not booting up properly,SD_1stL_SD-UC_NSN_ENG_PH
Please assign user BS001989 to team Emails,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
New Mobile Phone  MailCalendar Not Working,SD_1stL_SD-UC_NSN_ENG_PH
PL  MS Office  Activation Issue,SD_1stL_SD-UC_NSN_ENG_PH
BIOS settings change,SD_1stL_SD-UC_NSN_ENG_PH
Search function issue in 4Budget tool,SD_1stL_SD-UC_NSN_ENG_PH
Break Fix  Detected amber alert on deivce GROAMRWEB187,GBL-WTI-AHS WINTEL L1
Alliance tool issue  Order not getting exportedSuper User,SD_UC_CoCare_NSN_GL
Add user in Dispute Approvers Team,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Software Center  Download Freeze ,SD_1stL_SD-UC_NSN_ENG_PH
IT Assign AD groups to user ITQ04195,G SNOW IT SERVICE DESK
FW T drive and P drive not accessiblecompletely frozen,Service Desk - Non Sales
LiveLink Download Limit,SD_1stL_SD-UC_NSN_ENG_PH
Virtual PC  Grayed out screen after clicking on icon,SD_1stL_SD-UC_NSN_ENG_PH
Ticket to be assigned to OSS Muhammad Kashif  muhammad2kashifextnokiacom   windows 10 image installation PF1C0GCK  work done,SD_1stL_SD-UC_NSN_ENG_PH
Open R3 Connection to P03,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BPC access for user BS002136,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Sandbox login issue,Service Desk - Sales All
CSOD  no user file,SD_1stL_SD-UC_NSN_ENG_PH
Password reset EXQ02885,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FollowUp needed for EMException AMRATWW002SMARTS CMDB Discovery Error AMRATWW002 not pingable,GBL-WTI-AHS WINTEL L1
GR  Remove Role ,G SNOW GR SERVICE DESK
DP ISSUE Failures for AMER5b  BS amrsoml395 GP 1800Start CT amrdrml025,GBL-WTI-AHS UNIX L1
eXtel usser acces ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
HP Printing Upper right door is not closing of printer in MH room 6F220,SD_1stL_SD-UC_NSN_ENG_PH
general ipad set up questions,Service Desk - Non Sales
Please clean up dumpster folder of 2nd lvl MykhailoChornyicchelleniccom,G SNOW EXT ATOS IS MAILING ADMINS
Special Approver Role for IT BA Business Operations Manager,I-Buy Process Support
NokiaMeetings   User Authentication Failed Problem Report Cisco Webex Meetings Version 33919,SD_1stL_SD-UC_NSN_ENG_PH
JiraDC doesnt work,SD_1stL_SD-UC_NSN_ENG_PH
Transfer Notice  Patrick Lievano  OAPI,Service Desk - GAM
Consigment stocks  access differencies between Emmi  Jani,SD_UC_CoCare_NSN_GL
Access to Planon 0424 for two users from Fleet,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please reset SAP Q02 password for user HQ000738,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
changed the title and position in MyHR tool but in Delve the chages is not visible,SD_1stL_SD-UC_NSN_ENG_PH
Unable To Reset Password  Imran Khan,Service Desk - Non Sales
Users selection in Ecosystem does not save,Service Desk - Non Sales
IBD180289639 cant PGR,PZC-FJ-ServiceDesk
Different Product Status APO  ECC,PZC-FJ-ServiceDesk
Lot number missing,Service Desk - Sales All
Software Center  shows no applications listed,SD_1stL_SD-UC_NSN_ENG_PH
Needing Veeva IVA usage pushed into CDR,Service Desk - Sales All
All users company wrongly mapped in Sales Force Need to correct it as NAM SWAN as  211540SWA ,SD_1stL_SD-UC_NSN_ENG_PH
Assign Requester role for Turkey and Germany,I-Buy Process Support
PL  regarding INC0854111,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FW Incident INC0340028 has been Closed,Service Desk - Non Sales
GR  Assign access on XTELSM1 to GR203038,G SNOW GR SERVICE DESK
SOFTWARE FMO Win10 Unable to perform reimage,SD_1stL_SD-UC_NSN_ENG_PH
GR  Following RITM0939512  Worng Target SLA Days,G SNOW GR SERVICE DESK
BSO  Transfer email address ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE INC0367254  Access to T Folder,Service Desk - Non Sales
Reboot server EMAZASW003,GBL-WTI-AHS WINTEL L1
Unable to upload or access documents in NDPd BT5G,SD_1stL_SD-UC_NSN_ENG_PH
Veeva time off territory so doesnt affect calls for next week,Service Desk - Non Sales
IT 3rd party iVPN site to site tunnel SIT Nogara  CCHBC Fortigate removal,G SNOW IT SERVICE DESK
User locked out of the account Unable to sign in to the system,Deskside Carnegie
BPM Access for BS001821 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
 clean dumpster folder for user RinatFayzullincchelleniccom,G SNOW RU SERVICE DESK
High memory utilization on istemadbs06emeapfizercom,GBL-WTI-AHS WINTEL L1
RS  SAP Roles remove,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to download SAP Editor in machine,Deskside Carnegie
1st contact SAP Applications  Request investigate  correct  Customer 9001127   A19840614   9000009615,PZC-FJ-ServiceDesk
My Computer  Workstation  Laptop keypad is hanging number of times,SD_1stL_SD-UC_NSN_ENG_PH
Desktop access request,Service Desk - GAM
check with project admins to cleanup the huge component maps,SD_1stL_SD-UC_NSN_ENG_PH
NokiaMeetings   getting error User Authentication Failed Reason   Auto Account Creation failed,SD_1stL_SD-UC_NSN_ENG_PH
GR  Remove User from Mailbox,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Not able to login P76 Account not in validty date,SD_UC_CoCare_NSN_GL
Restart ASPMUMW003 server due to slow response while running the queries,GBL-WTI-AHS WINTEL L1
SAP P20 Issue Required HUs could not be found,SD_UC_CoCare_NSN_GL
Request access to  dedicated reports ,I-Buy Process Support
Unable to log in to Aspire tool http10130911,SD_1stL_SD-UC_NSN_ENG_PH
Unable to access Alliance,SD_UC_CoCare_NSN_GL
Remove User from Group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SAP logon pad issue,SD_UC_CoCare_NSN_GL
CCR Monitoring  Manufacturing Orders Not Active in IMGB21,PZC-FJ-ServiceDesk
NOIG105LKGen  licenses failed without any business exception,SD_1stL_SD-UC_NSN_ENG_PH
Possible ways for File Transfer Outside Nokia Organization,SD_1stL_SD-UC_NSN_ENG_PH
Password issue with Otsuka laptop,Service Desk - Non Sales
VPN to access to intranet,Service Desk - Non Sales
Promotion Notice  Sarah Christiansen  OAPI,Service Desk - Non Sales
No longer has access to Adobe Pro,Service Desk - GAM
DP Issue Failures for AMER5b  BS amrsoms005  CT prs167,GBL-WTI-AHS UNIX L1
Passcode failure try again in 60 seconds,SD_1stL_SD-UC_NSN_ENG_PH
Cant access otsuka resources on laptop only,Service Desk - Non Sales
NG  Q82 Password Reset,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SNMPAgentauadst5651pfizercom NotResponding Intel VM Guest,GBL-WTI-AHS WINTEL L1
AORaor repo is out of sync with slave gerritessl2intnetnokiacom on branch AOR194,SD_1stL_SD-UC_NSN_ENG_PH
Edge Site  Planned Server Room Shutdown at Site MELBOURNE HOSPIRA AUSTRALIA,GBL-WTI-AHS WINTEL L1
2020 PwC audit access SAP  1 usuer,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SAP TEMPORAL ADDITION OF ROLE A3493393   8000004720 ,PZC-FJ-ServiceDesk
IE  Change Email Address,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PPM Report Issue,PZC-FJ-ServiceDesk
DP ISSUE Failures for APAC8  BS aspsdcl060 GP 0500Start CT aspwuxw004,GBL-WTI-AHS WINTEL L1
citrix connection issue ,Service Desk - Non Sales
Request for Posting of Invoices PAK0069 PAK0070,SD_UC_CoCare_NSN_GL
Recall CAPA  Deviation Forum97245 Extension RequestReview,Service Desk - Non Sales
Readsoft login error,SD_UC_CoCare_NSN_GL
 Cant join webex with desktop app or web app,SD_UC_CoCare_NSN_GL
Unable to connect  server ASPSZDW009apacpfizercomProd1,GBL-WTI-AHS WINTEL L1
CZ Add user phone number to OutlookAD,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FW T Drive access,Service Desk - Non Sales
RP NSAUNIX Request20200103133821787,GBL-WTI-AHS UNIX L1
Mobile phone using company provided SIM 48 727 622 419 is not connecting to 4G while within 4G coverage area,SD_1stL_SD-UC_NSN_ENG_PH
FW Modules will not load,Service Desk - Non Sales
Red Team Training  Laptop not accessible ,Service Desk - Non Sales
Please delete Meeting,G SNOW EXT ATOS IS MAILING ADMINS
CCR Monitoring  Status as Z7 for product in GB21,PZC-FJ-ServiceDesk
Reg Not able to access the server J3CREDOSPX,Service Desk - Non Sales
IE  Email Statistics  hs3,G SNOW EXT ATOS IS MAILING ADMINS
Missing access to Perform button,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Keyboard on surface stopped typing,Service Desk - Non Sales
 Active Directory FMO Nsnintra account frequent lock out  request to find the device that causes the lock out,SD_UC_CoCare_NSN_GL
locked out of computer at login screen,Service Desk - Non Sales
not allowed to log in to Support Portal,SD_1stL_SD-UC_NSN_ENG_PH
Please transfer mail from previous user RU012568 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IDR   Request rejected by line manager  The IDR tracking numbers 664810,SD_1stL_SD-UC_NSN_ENG_PH
user accountingidahotowerconstructioncom not exist in NAM but visible in Sales Force,SD_1stL_SD-UC_NSN_ENG_PH
PC installation  RITM2479908 has been closed without setting up the laptop,SD_1stL_SD-UC_NSN_ENG_PH
 Win7 to Win10 upgrade Trust relationship error message,SD_1stL_SD-UC_NSN_ENG_PH
change email supplier Tech Mahindra Services Belgium NV 789603 ,I-Buy Process Support
Computer hangs when renaming folders RE Your ticket CAL3433382 has been solved,SD_1stL_SD-UC_NSN_ENG_PH
URGENT Vodafone PO 1502501760 missing from EEPTPROD required for Nokia Order Intake Reporting,SD_1stL_SD-UC_NSN_ENG_PH
Alliance SH200023L0000   JS190102M0010   CM200009M0000,SD_UC_CoCare_NSN_GL
User Computer  Workstation,SD_1stL_SD-UC_NSN_ENG_PH
Story icon not visible on structure view,SD_1stL_SD-UC_NSN_ENG_PH
Account disabled or locked,Deskside Carnegie
workday ID request,Service Desk - Non Sales
No access to DOORS,SD_1stL_SD-UC_NSN_ENG_PH
Ipad captures everything from her iphone,Service Desk - Non Sales
IT  add user to shared mailbox,G SNOW IT SERVICE DESK
Time behind on laptop thus creating skype login issue ,Service Desk - Non Sales
PR transferred to non existing Pronto Group,SD_1stL_SD-UC_NSN_ENG_PH
ionrpadynnescnokianet is not accessible,SD_1stL_SD-UC_NSN_ENG_PH
Issues with Skype SignIn,Service Desk - Non Sales
Unable to get latest email when not connected to VPN,SD_1stL_SD-UC_NSN_ENG_PH
sdcaspcls04aapacpfizercom cpqFcaHostCntlrStatusChange Intel,GBL-WTI-AHS WINTEL L1
Hardware   laptop just broken at power hole in lenovo x280,SD_1stL_SD-UC_NSN_ENG_PH
Can not login BI,PZC-FJ-ServiceDesk
Remove Kathirvel from DL,Service Desk - GAM
IT  Access rights for shared mailbox Fax2EDISharedMailbox2cchelleniccom,G SNOW IT SERVICE DESK
SRM Issue Delete shopping carts,SD_UC_CoCare_NSN_GL
zoom meeting access,Service Desk - Non Sales
PL  Drive access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  Head Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CPU Utilization on AMRNDHL846  no data,GBL-WTI-AHS UNIX L1
Read write access for Hema Gandhi,Service Desk - Non Sales
DP Issue  Backup failure for mswkyocp01,GBL-WTI-AHS WINTEL L1
NokiaMeetings   Reason   User account has been deactivated,SD_1stL_SD-UC_NSN_ENG_PH
SNMPAgentaumullab01pfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
Commercial Power BI desktop access request,Service Desk - Non Sales
Unable to connect to Internet in a hotel,Service Desk - Non Sales
More visibility in IBuy,I-Buy Process Support
IssueELF Application18th June20,SD_UC_CoCare_NSN_GL
Jabber  Unable to make calls,SD_1stL_SD-UC_NSN_ENG_PH
Laptop Battery Not Charging on Dell 3490 ,Deskside Carnegie
RITM2020790 FW New invoice for PO   5010941210 without GoodsReceipt,SD_1stL_SD-UC_NSN_ENG_PH
call made yet not counting against call plan,Service Desk - Non Sales
Certificate and otp for VPN,SD_UC_CoCare_NSN_GL
5270151not available in Ariba,I-Buy Process Support
ENHNo PF2 MTD data in COMMPLCCR of BI repo,PZC-FJ-ServiceDesk
user needs acrobat pro ASAP for an Audit ,Service Desk - GAM
Add storage to ARGSXD16 database diskgroups,GBL-WTI-AHS UNIX L1
WIN10  Unable to access MGate Application due to Admin Rights issue,SD_1stL_SD-UC_NSN_ENG_PH
Teams call set up,Service Desk - Non Sales
Change of email address ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CSI trace not working,SD_1stL_SD-UC_NSN_ENG_PH
access to edit SSF,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL User globally locked,G SNOW PL SERVICE DESK
AD account locked,Deskside Carnegie
MT940 from standard chartered not save i,PZC-FJ-ServiceDesk
Nokia VPN gateways not showing up in AnyConnect ,SD_1stL_SD-UC_NSN_ENG_PH
adobe license expired ,Service Desk - Non Sales
Firewall issue with Zoom application,Service Desk - Non Sales
Dp issue Backup failure for AUMUST1603,GBL-WTI-AHS WINTEL L1
PAC Tool is not working properly on IE,Service Desk - Non Sales
Dear checked in vendor code 844775 in SBM,SD_1stL_SD-UC_NSN_ENG_PH
Unable to get to eLearn,Service Desk - Non Sales
Access to AirWatch,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Delete Cells in Excel on iPad,Service Desk - Non Sales
NG  VPN access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Successfactors mobile password,Service Desk - Non Sales
Verizon equote failure,SD_1stL_SD-UC_NSN_ENG_PH
Please create VPN certificates for external vendors,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
External BT users access ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
W2 DP process chain comepleted late,PZC-FJ-ServiceDesk
blacklist the sender ,G SNOW EXT ATOS IS MAILING ADMINS
no internet on browsers connection when connected to VPN,SD_1stL_SD-UC_NSN_ENG_PH
PIE Gl202012160 SC1322 access required  RITM2602659 ,SD_UC_CoCare_NSN_GL
GQEDMS User Access Request  New Account Request Cheruvathur Siddarth   siddarth37271,Service Desk - Non Sales
Cant issue a call,Service Desk - Sales All
Citrix issue Unable to start Alliance and Master data tool in Citrix,SD_UC_CoCare_NSN_GL
Incident  BI forward requirement report,PZC-FJ-ServiceDesk
Unable to Login to BMC Cares Remedy,SD_1stL_SD-UC_NSN_ENG_PH
access to BW Fractal,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SD Mailbox Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
aumulapp06pfizercom cpqDaDrvStatusChange Intel,GBL-WTI-AHS WINTEL L1
Unblock ASO 3245130,SD_UC_CoCare_NSN_GL
Mailbox  retire and create new,Service Desk - GAM
BSO  Assign access to folder,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
networker is down on ad08u480 DP team has no access please restart,GBL-WTI-AHS UNIX L1
IT  SHARED FOLDER ACCESS REQUEST,G SNOW IT SERVICE DESK
P0000000803 QG0 error  NDPNDP reminder 17TW792574 Quality Gate 1 schedule is pending,SD_UC_CoCare_NSN_GL
emacpew002emeapfizercom cpqSmSelfTestError Intel,GBL-WTI-AHS WINTEL L1
PL  Missing roles  employee sales order,G SNOW PL SERVICE DESK
user can not access GIT system,Service Desk - Non Sales
List of Customer Users for TMobile Austria GmbH SAP ID 203415,SD_1stL_SD-UC_NSN_ENG_PH
PL  P82 SAP Password reset,G SNOW PL SERVICE DESK
Workstation  Black screen and not able to reboot ,SD_1stL_SD-UC_NSN_ENG_PH
DP issue  Failures for AMER5b  BS amrgros035 GP 2100Start CT groamrcls31a  NO BACKUP,GBL-WTI-AHS WINTEL L1
Reset PasswordAccount locked,Service Desk - Non Sales
P20 ABAP Runtime Error  Wipro Romania ,SD_UC_CoCare_NSN_GL
FR  PC  software center does not show list of applications,SD_1stL_SD-UC_NSN_ENG_PH
Asset Return Box  Sangeeta Arora,Service Desk - GAM
HQQ00914  Add to Citrix Group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
iPad reset is not working  please wipe from the server,Service Desk - Non Sales
Process chain failures  BWP  Group 2  06012019,PZC-FJ-ServiceDesk
Zachary Root eLearn lockout,Service Desk - Non Sales
SSLVPN certificate renewal,SD_UC_CoCare_NSN_GL
Dp issueBackup failure for AMRSOMS065,GBL-WTI-AHS UNIX L1
GR  wave 2 PL Planning application,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Issue with shared storage,GBL-WTI-AHS UNIX L1
Red team training tiny calendar app,Service Desk - Non Sales
Please reopen AR 17750166,SD_1stL_SD-UC_NSN_ENG_PH
process blocked in cloud instance break 5G production,SD_1stL_SD-UC_NSN_ENG_PH
blank precall planning dashboard,Service Desk - Non Sales
IT  Creation survey ITAUDITSURVEYNEW2TEMP,G SNOW IT SERVICE DESK
cannot access new SPM tool  SSO seems not enabled,SD_1stL_SD-UC_NSN_ENG_PH
Please reactivate Kirti Rajput in AD,Service Desk - GAM
Mind Manager 2020,Deskside Carnegie
SOFTWARE FMO Win10 Win 10 workstation reboots itself while in sleep,SD_1stL_SD-UC_NSN_ENG_PH
Process chain failures  BWR  Group 2  10012019,PZC-FJ-ServiceDesk
RP NSAUNIX Request20191128092544503,GBL-WTI-AHS UNIX L1
Issue in opening CARES for Verizon Wireless engineers,SD_1stL_SD-UC_NSN_ENG_PH
mswkyocp01emeapfizercom Down Intel,GBL-WTI-AHS WINTEL L1
veeva question  general question,Service Desk - Non Sales
New iPad  Javelin setup,Service Desk - Non Sales
ingenious time off territory off 1 day,Service Desk - Sales All
Looking for update on iPad shipment,Service Desk - Non Sales
Tax code is not maintained for vendor PLID20W3 in GH20,PZC-FJ-ServiceDesk
RP NSAUNIX Request20190821115446348,GBL-WTI-AHS UNIX L1
Assign SAP roles for RO913148 RO913141 and RO913143 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cant connect to account,Service Desk - Non Sales
Change Display name of Mediacchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IN  Office 365 SharePoint Team Site  Access issue,SD_1stL_SD-UC_NSN_ENG_PH
kzoamrcls03aamerpfizercom cpqClusterResource Intel,GBL-WTI-AHS WINTEL L1
NokiaMeetings   Error Your current Webex site is not enabled for use with Microsoft Office 365 ,SD_1stL_SD-UC_NSN_ENG_PH
BT  LV Receptionist access rights ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Patching Issue FAILED Win2008R2 617601 Result for AMRSOMW048,GBL-WTI-AHS WINTEL L1
O365Mailbox Delegation issue,SD_1stL_SD-UC_NSN_ENG_PH
fileshare  unable to access the files,GBL-WTI-AHS WINTEL L1
SAP ECP Error  You are not authorized to use transaction VA06,PZC-FJ-ServiceDesk
PL  Add access to transaction,G SNOW PL SERVICE DESK
Please help to check the CARES group admin,SD_UC_CoCare_NSN_GL
Access to SAP HANA S02 Client 400,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
issue with approvers in a shopping cart,SD_UC_CoCare_NSN_GL
Remove User from Nokia Contract Handling Team User Group,I-Buy Process Support
unable to remote to server,GBL-WTI-AHS WINTEL L1
Support Portal  access issue,SD_1stL_SD-UC_NSN_ENG_PH
 Unable to launch Alliance in Citrix,SD_UC_CoCare_NSN_GL
FW T1 2020 HCPs NOT in IC Snapshot that were added or in territory prior to the Snapshot date,Service Desk - Sales All
treatNOW Call Issue  Full call notes issue on call,Service Desk - Sales All
Unable to connect to mobile hotspot,SD_1stL_SD-UC_NSN_ENG_PH
NG  Lotus Notes ID ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Implementation of the SAP OSS note  2879554,SD_1stL_SD-UC_NSN_ENG_PH
O365 Functional MailboxPlease ensure mail foreward is working to Datastock server,SD_1stL_SD-UC_NSN_ENG_PH
CZ  Additional access needed  based on INC0875183,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Jabber Phone services Not Working CAL3313151,SD_1stL_SD-UC_NSN_ENG_PH
CCR Monitoring  Product is Ready for the costing for KE10,PZC-FJ-ServiceDesk
Two distribution groups needed,Service Desk - GAM
IT  Creation of user in Openscape Manager,G SNOW IT SERVICE DESK
User  mt4627attcom  unable to access the CARES and EBwarranty product,SD_1stL_SD-UC_NSN_ENG_PH
Many Projects missed from the Weekly Data Flow to 4C,SD_1stL_SD-UC_NSN_ENG_PH
USILSP5205 Not Responding After Reboot Attempt,GBL-WTI-AHS WINTEL L1
Calendar Evites for Remya Chandran,Service Desk - Non Sales
Question about find my iPad,Service Desk - Non Sales
PL  TR11301 NonRecurring Bank guarantee issuance SSF access,G SNOW PL SERVICE DESK
laptop purchased from Otsuka sound issues ,Service Desk - Non Sales
O365 Functional Mailbox Unable to access mailbox,SD_1stL_SD-UC_NSN_ENG_PH
SUser ID authorization,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
boot device not found,SD_1stL_SD-UC_NSN_ENG_PH
printing on Brother,Service Desk - Non Sales
Document will not scan,Service Desk - Non Sales
new hire  set up of new laptop,Service Desk - Non Sales
